"id","source","target"
"d74cb464916a4e46487efc2bffb1fdf791cdb260","Email Leads","Email Leads"
"d8a5bfa02b3ae5db52836e6533beaee4ff7bb0dc","Leads","Guías"
"07adc5e7f57be16d2c4ee85e4be5b072c94b3084","Filter your leads","Filtra tus leads"
"af60d91713cc4c0a7855d7513b13e22dfad47741","Lead Id","Id de plomo"
"f32d2abdab4fa16674d1f3a3af8f1679d27a51a1","Lead Name","Nombre principal"
"df80548fce6bc98fd02ab7bb7f6d9899cc2a0964","Phone Number","Número de teléfono"
"7b30ba2108419c9b2810e3eb42ecc19743a9589f","Email","Email"
"44fdcbaf2919d5d8a9aadbd4f20fac5df7eda2a9","Campaign Id","ID de campaña"
"0f6865e675bcf6574467ddf8f71191579323c81b","Date","Fecha"
"2c9c5281ba09174db28a40bd620d2f692b9250b3","Lead Status","Estado de plomo"
"5e90fb1a8c8da8e1d58cf5155c8a523ba77fd061","Opened","Abrió"
"3b8f63ae1b7b8339ad9f6c9739d3546d93eec41d","Closed","Cerrado"
"46e90dc4d9d189ce02b6beb05667d0ca14c7e1b0","Not Opened","No abierto"
"775dda0e2098612acfb2ef2bf7c614b0a8f6cda6","More Info","Más información"
"b689f86148180bf2480c8edd3402a3233c6d6443","No data matching the filter","No hay datos que coincidan con el filtro."
"7f9a92a2c3c13c211774e23489756b1e1e07ee72","Setting Up:","Configuración:"
"5dadb8dc44b014fd4f3ad7ea96d12f83ebbef6ca","At the top right of the page, click on the User icon.","En la esquina superior derecha de la página, haga clic en el ícono Usuario."
"f3d70044fe5d234054114fbb4e146eddacaed0a8","Your unique webhook url and Google key should appear, copy them to the Google Form Ad(s) that you wish to link to miniCRM.","Debería aparecer su URL de webhook única y la clave de Google, cópielas en los anuncios de formulario de Google que desea vincular a miniCRM."
"ece40b93e9e2e2c7296ccad7def9a60f948000c5","On the Google Ads site, this can be found while editing a form in the section ""Lead Delivery Option"" > ""Manage your leads with a webhook""","En el sitio de Google Ads, esto se puede encontrar al editar un formulario en la sección ""Opción de entrega de leads""> ""Administre sus leads con un webhook"""
"cf874764145fa9718ddcef078ef937b14b5c14f6","Copy and paste your webhook url and Google key from miniCRM into the respective fields in your form.","Copie y pegue su URL de webhook y la clave de Google desde miniCRM en los campos respectivos de su formulario."
"a2736e106cb03480b6e1b9b3a553c175ad0556c9","Click save at the bottom of the Form page.","Haga clic en guardar en la parte inferior de la página del formulario."
"f37c02b362d5aa128460aaf8ff4f8a6abd81d6a7","Congratulations! Your form is ready to delivery leads for you to view here! As soon as you receive a new lead, you will be able to view it on the ""Leads"" page!","¡Felicidades! ¡Su formulario está listo para recibir clientes potenciales para que los vea aquí! ¡Tan pronto como reciba un nuevo cliente potencial, podrá verlo en la página ""Clientes potenciales""!"
"1eede69e18c5ac9c0b0295b72cabb7e64e029e74","Hide","Esconder"
"afd707a7a917a96605804e92e66cb17e2bf5c7e2","LOGOUT","CERRAR SESIÓN"
"1bb53afa384534cd9242637a54f1144837139d8b","A simple, lightweight CRM app.","Una aplicación CRM simple y liviana."
"9e58dfa6c0a452d8333674cd6aa497d392b1c633","LOGIN","INICIAR SESIÓN"
"8bcabdf6b16cad0313a86c7e940c5e3ad7f9f8ab","Notifications","Notificaciones"
"244aae9346da82b0922506c2d2581373a15641cc","Email","Email"
"db654f91d847f34e71ffb99268ff3a1807913421","Phone Number","Número de teléfono"
"29e485c29f3d644434ed4b6c6ef164a194dae4fa","Language & Currency","Idioma y moneda"
"fe46ccaae902ce974e2441abe752399288298619","Language","Idioma"
"32072c7fb0469aaf82d256a59b3e0d6ecce973b9","Currency","Moneda"
"4291226389369114110","Your Webhook URL","Tu URL de Webhook"
"6022884682723429596","Your Google Key","Tu clave de Google"
"3798070165070620146","Guide","Guía"
"2078785402028999261","Forms","Formas"
"8864658120410603626","Campaigns","Campañas"
"8386425551175504853","Sales Leads","Líder en ventas"
"7861389751355579174","Analytics","Analítica"
"4930506384627295710","Settings","Configuraciones"
"4413073540348568610","Form Id","ID del formulario"
"9064602092259352900","Form Name","Nombre del formulario"
"3973931101896534797","Date","Fecha"
"2078785402028999261","Forms","Formas"
"7748433738933524310","Campaign Id","ID de campaña"
"2737049849212181404","Campaign Name","Nombre de campaña"
"3973931101896534797","Date","Fecha"
"8864658120410603626","Campaigns","Campañas"
"3798070165070620146","Guide","Guía"
"4960524097614109439","Charts","Gráficos"
"5813867925497374051","Map","Mapa"
"7861389751355579174","Analytics","Analítica"
"4170220674745968279","Sales Lead Forms Compatible","Compatible con formularios de ventas"
"1578917307173231888","Qualify Sales Leads","Calificar clientes potenciales de ventas"
"670772380795585906","Contact Sales Leads","Póngase en contacto con los vendedores"
"1837840580513999417","Analyze Sales Leads","Analizar leads de ventas"
"4930506384627295710","Settings","Configuraciones"
"8253765269174553442","Type specific area codes, lead-ID, ...","Escriba códigos de área específicos, ID de plomo, ..."
"8386425551175504853","Leads","Guías"
