"id","source","target"
"d74cb464916a4e46487efc2bffb1fdf791cdb260","Email Leads","ईमेल लीड्स"
"d8a5bfa02b3ae5db52836e6533beaee4ff7bb0dc","Leads","सुराग"
"07adc5e7f57be16d2c4ee85e4be5b072c94b3084","Filter your leads","अपने लीड को फ़िल्टर करें"
"af60d91713cc4c0a7855d7513b13e22dfad47741","Lead Id","लीड आईडी"
"f32d2abdab4fa16674d1f3a3af8f1679d27a51a1","Lead Name","लीड नाम"
"df80548fce6bc98fd02ab7bb7f6d9899cc2a0964","Phone Number","फ़ोन नंबर"
"7b30ba2108419c9b2810e3eb42ecc19743a9589f","Email","ईमेल"
"44fdcbaf2919d5d8a9aadbd4f20fac5df7eda2a9","Campaign Id","अभियान क्रमांक"
"0f6865e675bcf6574467ddf8f71191579323c81b","Date","तारीख"
"2c9c5281ba09174db28a40bd620d2f692b9250b3","Lead Status","लीड की स्थिति"
"5e90fb1a8c8da8e1d58cf5155c8a523ba77fd061","Opened","खुल गया"
"3b8f63ae1b7b8339ad9f6c9739d3546d93eec41d","Closed","बन्द है"
"46e90dc4d9d189ce02b6beb05667d0ca14c7e1b0","Not Opened","खोला नहीं गया"
"775dda0e2098612acfb2ef2bf7c614b0a8f6cda6","More Info","और जानकारी"
"b689f86148180bf2480c8edd3402a3233c6d6443","No data matching the filter","फ़िल्टर से मेल खाता कोई डेटा नहीं"
"7f9a92a2c3c13c211774e23489756b1e1e07ee72","Setting Up:","की स्थापना:"
"5dadb8dc44b014fd4f3ad7ea96d12f83ebbef6ca","At the top right of the page, click on the User icon.","पृष्ठ के शीर्ष दाईं ओर, उपयोगकर्ता आइकन पर क्लिक करें।"
"f3d70044fe5d234054114fbb4e146eddacaed0a8","Your unique webhook url and Google key should appear, copy them to the Google Form Ad(s) that you wish to link to miniCRM.","आपके अनन्य webhook url और Google कुंजी दिखाई देनी चाहिए, उन्हें Google फ़ॉर्म विज्ञापन (ओं) पर कॉपी करें जिन्हें आप miniCRM से लिंक करना चाहते हैं।"
"ece40b93e9e2e2c7296ccad7def9a60f948000c5","On the Google Ads site, this can be found while editing a form in the section ""Lead Delivery Option"" > ""Manage your leads with a webhook""","Google विज्ञापन साइट पर, इसे ""लीड डिलीवरी विकल्प""> ""WebHI के साथ अपने लीड प्रबंधित करें"" अनुभाग में एक फॉर्म को संपादित करते हुए पाया जा सकता है।"
"cf874764145fa9718ddcef078ef937b14b5c14f6","Copy and paste your webhook url and Google key from miniCRM into the respective fields in your form.","अपने प्रपत्र में संबंधित क्षेत्रों में अपने webhook url और Google कुंजी को miniCRM से कॉपी और पेस्ट करें।"
"a2736e106cb03480b6e1b9b3a553c175ad0556c9","Click save at the bottom of the Form page.","फॉर्म पेज के नीचे save पर क्लिक करें।"
"f37c02b362d5aa128460aaf8ff4f8a6abd81d6a7","Congratulations! Your form is ready to delivery leads for you to view here! As soon as you receive a new lead, you will be able to view it on the ""Leads"" page!","बधाई हो! आपका फ़ॉर्म आपके यहां देखने के लिए डिलीवरी के लिए तैयार है! जैसे ही आप एक नया लीड प्राप्त करते हैं, आप इसे ""लीड्स"" पृष्ठ पर देख पाएंगे!"
"1eede69e18c5ac9c0b0295b72cabb7e64e029e74","Hide","छिपाना"
"afd707a7a917a96605804e92e66cb17e2bf5c7e2","LOGOUT","लॉग आउट"
"1bb53afa384534cd9242637a54f1144837139d8b","A simple, lightweight CRM app.","एक सरल, हल्के सीआरएम ऐप।"
"9e58dfa6c0a452d8333674cd6aa497d392b1c633","LOGIN","लॉग इन करें"
"8bcabdf6b16cad0313a86c7e940c5e3ad7f9f8ab","Notifications","सूचनाएं"
"244aae9346da82b0922506c2d2581373a15641cc","Email","ईमेल"
"db654f91d847f34e71ffb99268ff3a1807913421","Phone Number","फ़ोन नंबर"
"29e485c29f3d644434ed4b6c6ef164a194dae4fa","Language & Currency","भाषा और मुद्रा"
"fe46ccaae902ce974e2441abe752399288298619","Language","भाषा: हिन्दी"
"32072c7fb0469aaf82d256a59b3e0d6ecce973b9","Currency","मुद्रा"
"4291226389369114110","Your Webhook URL","आपका Webhook URL"
"6022884682723429596","Your Google Key","आपकी Google कुंजी"
"3798070165070620146","Guide","मार्गदर्शक"
"2078785402028999261","Forms","फार्म"
"8864658120410603626","Campaigns","अभियान"
"8386425551175504853","Sales Leads","बिक्री के अवसर"
"7861389751355579174","Analytics","एनालिटिक्स"
"4930506384627295710","Settings","समायोजन"
"4413073540348568610","Form Id","फॉर्म आईडी"
"9064602092259352900","Form Name","फ़ार्म का नाम"
"3973931101896534797","Date","तारीख"
"2078785402028999261","Forms","फार्म"
"7748433738933524310","Campaign Id","अभियान क्रमांक"
"2737049849212181404","Campaign Name","अभियान का नाम"
"3973931101896534797","Date","तारीख"
"8864658120410603626","Campaigns","अभियान"
"3798070165070620146","Guide","मार्गदर्शक"
"4960524097614109439","Charts","चार्ट"
"5813867925497374051","Map","नक्शा"
"7861389751355579174","Analytics","एनालिटिक्स"
"4170220674745968279","Sales Lead Forms Compatible","बिक्री लीड फार्म संगत"
"1578917307173231888","Qualify Sales Leads","योग्य बिक्रीसूत्र"
"670772380795585906","Contact Sales Leads","संपर्क बिक्रीसूत्र"
"1837840580513999417","Analyze Sales Leads","बिक्रीसूत्र का विश्लेषण करें"
"4930506384627295710","Settings","समायोजन"
"8253765269174553442","Type specific area codes, lead-ID, ...","विशिष्ट क्षेत्र कोड, लीड-आईडी टाइप करें ..."
"8386425551175504853","Leads","सुराग"
