"id","source","target"
"d74cb464916a4e46487efc2bffb1fdf791cdb260","Email Leads","Leads de email"
"d8a5bfa02b3ae5db52836e6533beaee4ff7bb0dc","Leads","Conduz"
"07adc5e7f57be16d2c4ee85e4be5b072c94b3084","Filter your leads","Filtre seus leads"
"af60d91713cc4c0a7855d7513b13e22dfad47741","Lead Id","ID do lead"
"f32d2abdab4fa16674d1f3a3af8f1679d27a51a1","Lead Name","Nome do lead"
"df80548fce6bc98fd02ab7bb7f6d9899cc2a0964","Phone Number","Número de telefone"
"7b30ba2108419c9b2810e3eb42ecc19743a9589f","Email","O email"
"44fdcbaf2919d5d8a9aadbd4f20fac5df7eda2a9","Campaign Id","ID da campanha"
"0f6865e675bcf6574467ddf8f71191579323c81b","Date","Encontro"
"2c9c5281ba09174db28a40bd620d2f692b9250b3","Lead Status","Status do lead"
"5e90fb1a8c8da8e1d58cf5155c8a523ba77fd061","Opened","Aberto"
"3b8f63ae1b7b8339ad9f6c9739d3546d93eec41d","Closed","Fechadas"
"46e90dc4d9d189ce02b6beb05667d0ca14c7e1b0","Not Opened","Fechado"
"775dda0e2098612acfb2ef2bf7c614b0a8f6cda6","More Info","Mais informações"
"b689f86148180bf2480c8edd3402a3233c6d6443","No data matching the filter","Nenhum dado correspondente ao filtro"
"7f9a92a2c3c13c211774e23489756b1e1e07ee72","Setting Up:","Configurando:"
"5dadb8dc44b014fd4f3ad7ea96d12f83ebbef6ca","At the top right of the page, click on the User icon.","No canto superior direito da página, clique no ícone Usuário."
"f3d70044fe5d234054114fbb4e146eddacaed0a8","Your unique webhook url and Google key should appear, copy them to the Google Form Ad(s) that you wish to link to miniCRM.","Seu URL exclusivo do webhook e a chave do Google devem aparecer. Copie-os para o (s) anúncio (s) de formulário do Google que você deseja vincular ao miniCRM."
"ece40b93e9e2e2c7296ccad7def9a60f948000c5","On the Google Ads site, this can be found while editing a form in the section ""Lead Delivery Option"" > ""Manage your leads with a webhook""","No site do Google Ads, isso pode ser encontrado ao editar um formulário na seção ""Opção de entrega de leads""> ""Gerenciar seus leads com um webhook"""
"cf874764145fa9718ddcef078ef937b14b5c14f6","Copy and paste your webhook url and Google key from miniCRM into the respective fields in your form.","Copie e cole seu URL do webhook e a chave do Google do miniCRM nos respectivos campos do seu formulário."
"a2736e106cb03480b6e1b9b3a553c175ad0556c9","Click save at the bottom of the Form page.","Clique em salvar na parte inferior da página do formulário."
"f37c02b362d5aa128460aaf8ff4f8a6abd81d6a7","Congratulations! Your form is ready to delivery leads for you to view here! As soon as you receive a new lead, you will be able to view it on the ""Leads"" page!","Parabéns! Seu formulário está pronto para entrega leva para você ver aqui! Assim que receber um novo lead, você poderá visualizá-lo na página ""Leads""!"
"1eede69e18c5ac9c0b0295b72cabb7e64e029e74","Hide","ocultar"
"afd707a7a917a96605804e92e66cb17e2bf5c7e2","LOGOUT","SAIR"
"1bb53afa384534cd9242637a54f1144837139d8b","A simple, lightweight CRM app.","Um aplicativo CRM simples e leve."
"9e58dfa6c0a452d8333674cd6aa497d392b1c633","LOGIN","CONECTE-SE"
"8bcabdf6b16cad0313a86c7e940c5e3ad7f9f8ab","Notifications","Notificações"
"244aae9346da82b0922506c2d2581373a15641cc","Email","O email"
"db654f91d847f34e71ffb99268ff3a1807913421","Phone Number","Número de telefone"
"29e485c29f3d644434ed4b6c6ef164a194dae4fa","Language & Currency","Idioma e Moeda"
"fe46ccaae902ce974e2441abe752399288298619","Language","Língua"
"32072c7fb0469aaf82d256a59b3e0d6ecce973b9","Currency","Moeda"
"4291226389369114110","Your Webhook URL","O seu URL Webhook"
"6022884682723429596","Your Google Key","Sua chave do Google"
"3798070165070620146","Guide","Guia"
"2078785402028999261","Forms","Formulários"
"8864658120410603626","Campaigns","Campanhas"
"8386425551175504853","Sales Leads","Leads de Vendas"
"7861389751355579174","Analytics","Google Analytics"
"4930506384627295710","Settings","Configurações"
"4413073540348568610","Form Id","ID do formulário"
"9064602092259352900","Form Name","Nome do formulario"
"3973931101896534797","Date","Encontro"
"2078785402028999261","Forms","Formulários"
"7748433738933524310","Campaign Id","ID da campanha"
"2737049849212181404","Campaign Name","Nome da campanha"
"3973931101896534797","Date","Encontro"
"8864658120410603626","Campaigns","Campanhas"
"3798070165070620146","Guide","Guia"
"4960524097614109439","Charts","Gráficos"
"5813867925497374051","Map","Mapa"
"7861389751355579174","Analytics","Google Analytics"
"4170220674745968279","Sales Lead Forms Compatible","Formulários de lead de vendas compatíveis"
"1578917307173231888","Qualify Sales Leads","Qualificar leads de vendas"
"670772380795585906","Contact Sales Leads","Entre em contato com leads de vendas"
"1837840580513999417","Analyze Sales Leads","Analisar leads de vendas"
"4930506384627295710","Settings","Configurações"
"8253765269174553442","Type specific area codes, lead-ID, ...","Digite códigos de área específicos, ID de lead, ..."
"8386425551175504853","Leads","Conduz"
